,label,rmse
0,college/grad student,0.7109414063270855
1,scientist,0.7687135310746962
2,other or not specified,0.7315993554034954
3,sales/marketing,0.7264855603144729
4,executive/managerial,0.7118003372079338
5,artist,0.752665755181696
6,technician/engineer,0.6798676216855891
7,self-employed,0.6901592559442375
8,homemaker,0.6617661768705922
9,academic/educator,0.7365116734403426
10,K-12 student,0.7398115522933474
11,tradesman/craftsman,0.8011959607832592
12,retired,0.7389378299532275
13,unemployed,0.5486800779358878
14,clerical/admin,0.7568558142814401
15,writer,0.7884202261012675
16,programmer,0.7757840342260728
17,customer service,0.7597996824569679
18,lawyer,0.5955914937075474
19,doctor/health care,0.5650362876295648
20,farmer,0.55358890205536
